2	 2.1e-01 4.7e-02 6.9e-04
10	 8.2e-03 5.5e-05 8.9e-16
20	 2.1e-03 3.4e-06 4.4e-16
40	 5.1e-04 2.1e-07 4.4e-15
80	 1.3e-04 1.3e-08 1.4e-15
160	 3.2e-05 8.3e-10 3.4e-15
